iter	Passed	Remaining
892	31986	3832
893	32031	3797
894	32074	3762
895	32105	3726
896	32144	3691
897	32177	3654
898	32217	3619
899	32261	3584
900	32304	3549
901	32355	3515
902	32395	3479
903	32437	3444
904	32478	3409
905	32517	3373
906	32558	3338
907	32591	3302
908	32632	3266
909	32672	3231
910	32712	3195
911	32752	3160
912	32793	3124
913	32833	3089
914	32873	3053
915	32913	3018
916	32954	2982
917	32981	2946
918	33004	2908
919	33030	2872
920	33075	2837
921	33116	2801
922	33155	2765
923	33179	2729
924	33219	2693
925	33259	2657
926	33298	2622
927	33345	2587
928	33384	2551
929	33425	2515
930	33465	2480
931	33499	2444
932	33539	2408
933	33580	2372
934	33602	2336
935	33642	2300
936	33681	2264
937	33721	2228
938	33754	2192
939	33794	2157
940	33837	2121
941	33877	2085
942	33905	2049
943	33944	2013
944	33985	1978
945	34002	1940
946	34041	1905
947	34080	1869
948	34122	1833
949	34162	1798
950	34202	1762
951	34242	1726
952	34283	1690
953	34322	1654
954	34361	1619
955	34399	1583
956	34440	1547
957	34482	1511
958	34521	1475
959	34568	1440
960	34609	1404
961	34650	1368
962	34691	1332
963	34731	1297
964	34772	1261
965	34812	1225
966	34853	1189
967	34880	1153
968	34919	1117
969	34958	1081
970	35002	1045
971	35042	1009
972	35082	973
973	35121	937
974	35162	901
975	35183	865
976	35221	829
977	35261	793
978	35302	757
979	35342	721
980	35369	685
981	35408	649
982	35448	613
983	35488	577
984	35529	541
985	35568	505
986	35608	469
987	35649	432
988	35689	396
989	35729	360
990	35770	324
991	35810	288
992	35850	252
993	35888	216
994	35930	180
995	35952	144
996	35994	108
997	36036	72
998	36078	36
999	36111	0
